序,產品代號,品名,單價,體積,廠牌,長,寬,高,種類,葷素,重量(g),"輸入格式(序,產品代碼+品名,單價,體積,種類)"
1,A1-1,《台糖》沙拉油(600ml/瓶),43,1176,台糖,7,7,24,油,素食,596,1_A1-1《台糖》沙拉油(600ml/瓶)_43_1176_油
2,A1-2,《台糖》葵花油(1000ml/瓶),99,1664,台糖,8,8,26,油,素食,1432,2_A1-2《台糖》葵花油(1000ml/瓶)_99_1664_油
3,A1-3,《泰山 》特級好理健康調和油(600ml),50,904.75,泰山,7,5.5,23.5,油,素食,596,3_A1-3《泰山 》特級好理健康調和油(600ml)_50_904.75_油
10,B1-1,《中興》鴨禾米(1.5kg/包),135,1530,中興,15,17,6,米,素食,1500,10_B1-1《中興》鴨禾米(1.5kg/包)_135_1530_米
11,B1-2,《中興》越之米(1.5kg/包),135,1530,中興,15,17,6,米,素食,1500,11_B1-2《中興》越之米(1.5kg/包)_135_1530_米
12,B1-3,《中興》外銷日本之米(1.5kg/包),159,1530,中興,15,17,6,米,素食,1500,12_B1-3《中興》外銷日本之米(1.5kg/包)_159_1530_米
74,C1-1,《丸莊》松級蔭油(500ml/瓶),105,990,丸莊,6,6,27.5,醬油,素食,908,74_C1-1《丸莊》松級蔭油(500ml/瓶)_105_990_醬油
75,C1-2,《丸莊》極品黑豆蔭油清(300ml/瓶),79,648,丸莊,6,6,18,醬油,素食,612,75_C1-2《丸莊》極品黑豆蔭油清(300ml/瓶)_79_648_醬油
76,C1-3,《丸莊》極品蔭油膏(350g/瓶),79,648,丸莊,6,6,18,醬油,素食,350,76_C1-3《丸莊》極品蔭油膏(350g/瓶)_79_648_醬油
116,D1-1,紅標料理米酒,25,1421,公賣局,7,7,29,米酒,素食,1066,116_D1-1紅標料理米酒_25_1421_米酒
117,D1-2,特級紅標米酒,38,792,公賣局,6,6,22,米酒,素食,554,117_D1-2特級紅標米酒_38_792_米酒
118,D1-3,紅標米酒水,47,1421,公賣局,7,7,29,米酒,素食,1083,118_D1-3紅標米酒水_47_1421_米酒
123,E1-1,《台糖》 二號砂糖 (1kg/包),36,504,台糖,9,28,2,糖,素食,1000,123_E1-1《台糖》 二號砂糖 (1kg/包)_36_504_糖
124,E1-2,《台糖》 貳號砂糖 (500g/包),23,633.6,台糖,22,14.4,2,糖,素食,500,124_E1-2《台糖》 貳號砂糖 (500g/包)_23_633.6_糖
125,F1-1,《台鹽》健康減鈉鹽(300g/罐),55,567,台鹽,9,9,7,鹽,素食,300,125_F1-1《台鹽》健康減鈉鹽(300g/罐)_55_567_鹽
126,F1-2,《台鹽》天然超鮮鹽(300g/罐),49,567,台鹽,9,9,7,鹽,素食,300,126_F1-2《台鹽》天然超鮮鹽(300g/罐)_49_567_鹽
127,F1-3,《台鹽》台灣精緻海鹽(300g/罐),49,567,台鹽,9,9,7,鹽,素食,300,127_F1-3《台鹽》台灣精緻海鹽(300g/罐)_49_567_鹽
145,G1-1,《日正》台灣媽祖調和米粉(300g),30,2464,日正,16,7,22,冬粉與炊粉,素食,300,145_G1-1《日正》台灣媽祖調和米粉(300g)_30_2464_冬粉與炊粉
146,G1-2,《日正》台灣麵攤粉絲(110g),22,1120,日正,14,5,16,冬粉與炊粉,素食,110,146_G1-2《日正》台灣麵攤粉絲(110g)_22_1120_冬粉與炊粉
147,G1-3,《日正》新竹調和米粉(260g),39,3150,日正,18,7,25,冬粉與炊粉,素食,260,147_G1-3《日正》新竹調和米粉(260g)_39_3150_冬粉與炊粉
159,G2-1,《正逢》在家吃麵-拉麵(200g/包),15,215.25,正逢,10.5,1,20.5,麵條,素食,200,159_G2-1《正逢》在家吃麵-拉麵(200g/包)_15_215.25_麵條
160,G2-2,《正逢》在家吃麵-細麵(200g/包),15,215.25,正逢,10.5,1,20.5,麵條,素食,200,160_G2-2《正逢》在家吃麵-細麵(200g/包)_15_215.25_麵條
161,G2-3,《正逢》在家吃麵-油麵(200g/包),15,215.25,正逢,10.5,1,20.5,麵條,素食,200,161_G2-3《正逢》在家吃麵-油麵(200g/包)_15_215.25_麵條
178,H1-1,《3點1刻》日月潭奶茶(20g*15包/袋),139,4155.3,3點1刻,24.3,6,28.5,沖泡飲,素食,300,178_H1-1《3點1刻》日月潭奶茶(20g*15包/袋)_139_4155.3_沖泡飲
179,H1-2,《3點1刻》沖繩黑糖奶茶(20g*15包/袋),123,4155.3,3點1刻,24.3,6,28.5,沖泡飲,素食,300,179_H1-2《3點1刻》沖繩黑糖奶茶(20g*15包/袋)_123_4155.3_沖泡飲
180,H1-3,《3點1刻》經典伯爵奶茶(20gx15包/袋),109,4155.3,3點1刻,24.3,6,28.5,沖泡飲,素食,300,180_H1-3《3點1刻》經典伯爵奶茶(20gx15包/袋)_109_4155.3_沖泡飲
257,I1-1,《愛之味》鮮味脆瓜(170g瓶),30,338,愛之味,6.5,6.5,8,罐頭_瓜,素食,170,257_I1-1《愛之味》鮮味脆瓜(170g瓶)_30_338_罐頭_瓜
258,I1-2,《愛之味》青脆菜心(180g瓶),36,338,愛之味,6.5,6.5,8,罐頭_瓜,素食,180,258_I1-2《愛之味》青脆菜心(180g瓶)_36_338_罐頭_瓜
259,I1-3,《愛之味》壺底蔭瓜(140g罐),35,242,愛之味,5.5,5.5,8,罐頭_瓜,素食,140,259_I1-3《愛之味》壺底蔭瓜(140g罐)_35_242_罐頭_瓜
